




||ACTIVITY_GROUP||ACTIVITY_ID||ACTIVITY_NUMBER||ACTIVITY||
||1||20000152||1||Other Programs/Activities||
||1||20000192||2||Direct Patient Care||
||1||20000194||3||Outreach to Non-Medi-Cal Programs||
||1||20000196||4||Medi-Cal Outreach  ||
||1||20000198||5||"Referral, Coordination, and Monitoring of Non Medi-Cal Services"||
||1||20000200||6||"Referral, Coordination, and Monitoring of Medi-Cal Services"||
||1||20000202||7||Facilitating Non Medi-Cal Application||
||1||20000204||8||Facilitating Medi-Cal Application||
||1||20000206||9||Arranging and/or Providing Transportation to a Non Medi-Cal covered Service||
||1||20000208||10||"Arranging and/or Providing Non-Emergency, Non-Medical Transportation to a Medi-Cal Covered Service"||
||1||20000210||11||Contract Administration for Non Medi-Cal Services||
||1||20000212||12||Contract Administration (A) for Medi-Cal Services specific for Medi-Cal populations||
||1||20000214||13||Contract Administration (B) for Medi-Cal Services specific for Medi-Cal and Non Medi-Cal populations||
||1||20000216||14||Program Planning and Policy Development for Non Medi-Cal services||
||1||20000218||15||Program Planning and Policy Development (A) (Non-Enhanced) for Medi-Cal services for Medi-Cal clients||
||1||20000220||16||Program Planning and Policy Development Skilled Professional Medical Personnel (SPMP) (A) (Enhanced) for Medi-Cal services for only Medi-Cal clients||
||1||20000222||17||Program Planning and Policy Development (B) (Non-Enhanced) for Medi-Cal services for Medi-Cal and Non Medi-Cal clients||
||1||20000224||18||Program Planning and Policy Development (SPMP) (B) (Enhanced) for Medi-Cal services for Medi-Cal and Non Medi-Cal clients||
||1||20000226||19||MAA/TCM Coordination and Claims Administration||
||1||20000228||20||MAA/TCM Implementation Training||
||1||20000230||21||General Administration||
||1||20000232||22||Paid Time Off||
||2||20000082||1||Other Programs/Activities||
||2||20000084||2||Direct Patient Care||
||2||20000092||3||Outreach to Non-Medi-Cal Programs||
||2||20000094||4||Medi-Cal Outreach A||
||2||20000096||5||Medi-Cal Outreach B||
||2||20000098||6||Facilitating non-Medi-Cal Application||
||2||20000100||7||Facilitating Medi-Cal Application||
||2||20000102||8||Arranging and/or Providing Transportation to a non-Medi-Cal covered Service||
||2||20000104||9||"Arranging and/or Providing Transportation to a non-emergency, non-specialized Medi-Cal covered Service"||
||2||20000106||10||Contract Administration for non Medi-Cal services||
||2||20000108||11||Contract Administration (A) for Medi-Cal Services specific for Medi-Cal populations||
||2||20000110||12||Contract Administration (B) for Medi-Cal Services specific for Medi-Cal and non-Medi-Cal populations||
||2||20000112||13||Program Planning and Policy Development for Non-Medi-Cal Services||
||2||20000114||14||Program Planning and Policy Development (A)(non-enhanced) for Medi-Cal services for Medi-Cal clients||
||2||20000118||15||Program Planning and Policy Development Skilled Professional Medical Personnel (SPMP)(A)(enhanced) for Medi-Cal services for Medi-Cal clients||
||2||20000116||16||Program Planning and Policy Development (B)(non-enhanced) for Medi-Cal services for Medi-Cal and non-Medi-Cal clients||
||2||20000120||17||Program Planning and Policy Development (SPMP)(B)(enhanced) for Medi-Cal services for Medi-Cal and non-Medi-Cal clients||
||2||20000122||18||MAA/TCM Coordination and Claims Administration||
||2||20000124||19||MAA/TCM Implementation Training||
||2||20000090||20||Targeted Case Management (TCM) ||
||2||20000088||21||General Administration||
||2||20000086||22||Paid Time Off||
||3||20000126||1||Medi-Cal Outreach (A).||
||3||20000128||2||Medi-Cal Outreach (B1) (Actual Count/Other).||
||3||20000130||3||Medi-Cal Outreach (B2) (County-wide Average).||
||3||20000132||4||Facilitating Medi-Cal Application.||
||3||20000134||5||Arranging and/or Providing Transportation.||
||3||20000136||6||Contract Administration (A).||
||3||20000138||7||Contract Administration (B).||
||3||20000140||8||Program Planning and Policy Development (A).||
||3||20000142||9||Program Planning and Policy Development (B).||
||3||20000144||10||SPMP Program Planning and Policy Development (A).||
||3||20000146||11||SPMP Program Planning and Policy Development (B).||
||3||20000148||12||MAA/TCM Coordination and Claims Administration.||
||3||20000150||13||MAA Implementation Training (For use ONLY prior to FY 07-08).||
||4||100046||1||Medi-Cal Outreach (A)||
||4||100048||2||Medi-Cal Outreach (B1) (Actual Count/Other)||
||4||100050||3||Medi-Cal Outreach (B2) (County-wide Average)||
||4||100052||4||Facilitating Medi-Cal Application||
||4||100054||5||Arranging and/or Providing Transportation||
||4||100056||6||Contract Administration (A)||
||4||100058||7||Contract Administration (B)||
||4||100060||8||Program Planning and Policy Development (A)||
||4||100062||9||Program Planning and Policy Development (B)||
||4||20000002||10||SPMP Program Planning and Policy Development (A)||
||4||20000004||11||SPMP Program Planning and Policy Development (B)||
||4||100064||12||MAA/TCM Coordination and Claims Administration||
||4||100066||13||MAA Implementation Training (For use ONLY prior to FY 07-08)||
||4||100042||14||Other Programs/Activities||
||4||100044||15||Direct Patient Care||
||4||100068||16||General Administration||
||4||100070||17||Paid Time Off||
||4||20000080||18||TCM||
