SQL> /

BILLABL   COUNT(*)                                                              
------- ----------                                                              
2003-07       3780                                                              
2003-08      10960                                                              
2003-09      12618                                                              
2003-10      32102                                                              
2003-11      13923                                                              
2003-12      11968                                                              
2004-01      16720                                                              
2004-02      16391                                                              
2004-03      17356                                                              
2004-04      13078                                                              
2004-05      11453                                                              
2004-06       4198                                                              
2004-07       1256                                                              
2004-08        256                                                              
2004-09       7626                                                              
2004-10      21722                                                              
2004-11      24476                                                              
2004-12      15793                                                              
2005-01      24536                                                              
2005-02      27829                                                              
2005-03      25258                                                              
2005-04      19493                                                              
2005-05      21440                                                              
2005-06       5922                                                              
2005-07       3121                                                              
2005-08        618                                                              
2005-09      15516                                                              
2005-10      18320                                                              
2005-11      11237                                                              
2005-12       7767                                                              
2006-01      12199                                                              
2006-02      13839                                                              
2006-03      17142                                                              
2006-04      10439                                                              
2006-05      13001                                                              
2006-06       6495                                                              
2006-07       3949                                                              
2006-08       1780                                                              
2006-09      16612                                                              
2006-10      27514                                                              
2006-11      22556                                                              
2006-12      14292                                                              
2007-01      19179                                                              
2007-02      21610                                                              
2007-03      24207                                                              
2007-04      17327                                                              
2007-05      24810                                                              
2007-06       8640                                                              
2007-07       4097                                                              
2007-08       1657                                                              
2007-09      14970                                                              
2007-10      27768                                                              
2007-11      24658                                                              
2007-12      18716                                                              
2008-01      22513                                                              
2008-02      25916                                                              
2008-03      26090                                                              
2008-04      29004                                                              
2008-05      28920                                                              
2008-06      10226                                                              
2008-07       3718                                                              
2008-08       3611                                                              
2008-09      36625                                                              
2008-10      59162                                                              
2008-11      43828                                                              
2008-12      41473                                                              
2009-01      51237                                                              
2009-02      57425                                                              
2009-03      67773                                                              
2009-04      56060                                                              
2009-05      68797                                                              
2009-06      22165                                                              
2009-07       6037                                                              
2009-08       6497                                                              
2009-09      55511                                                              
2009-10      48086                                                              
2009-11          1                                                              
2009-12          6                                                              
2205-11          1                                                              

79 rows selected.

SQL> spool off
