CCODE,JOB_CLASS_ID,JOB_CLASS
AA,,  Teacher - Language/Speech Specialist
AA,22379,Assistant Principal
AA,,Assistant Principal 
AA,22384,Consultant
AA,,Consultant II
AA,22385,Coordinator
AA,,Coordinator II
AA,22387,Counselor
AA,24517,Educational Audiologist
AA,22392,Educational Community Worker
AA,22396,Language Interpreter
AA,22397,Medical Consultant
AA,22399,Principal
AA,,Principal 
AA,22404,"Program Manager, Dental Health"
AA,,Project Director III
AA,22408,Psychology Consultant
AA,22413,School Nurse
AA,22415,School Psychologist
AA,,School Psychologist 
AA,,School Pyschologist
AA,,Senior Program Specialist
AA,22424,Speech Language Pathology Assistant
AA,,Speech Language Pathology Assistant 
AA,22426,Teacher - Career Education
AA,,Teacher - Career Education 
AA,,Teacher - Community Day Schools
AA,,"Teacher - Independent Study Program, Alternative Education"
AA,,Teacher - LSS
AA,,Teacher - Language/ Speech Specialist
AA,,Teacher - Language/Speech Specialist
AA,,Teacher - Language/Speech Specialist 
AA,22432,Teacher - Pregnant Minors
AA,,Variable Term Waiver-LSS Teacher
AK,,Administrator
AK,24197,"Administrator II, Special Education"
AK,,"Administrator II, Special Education, Assessment"
AK,24200,Assistant Superintendent - Student Programs and Services
AK,,Audiologist
AK,,Coordinator / Principal Alternative Ed.
AK,,Coordinator/Prin. Alt. Ed.
AK,,Coordinator/Principal - Alternative Education
AK,,Coordinator/Principal - Special Education
AK,24210,"Coordinator/Principal, Alternative Education"
AK,24212,"Coordinator/Principal, Special Education"
AK,24219,"Executive Director, Special Education"
AK,24220,"Foster Youth Educational Liaison, Alternative Education"
AK,24224,Health Care Assistant
AK,,"Instructional Assistant, Special Education"
AK,,"Itenerant Teacher, Alternative Ed/Special Ed"
AK,24229,"Itinerant Teacher, Alternative Ed/Special Ed"
AK,,"Lang., Sp. & Hearing/Speech Therapist"
AK,24234,Office/School Clerk
AK,25017,Program Assistant
AK,24237,Program Assistant - At Risk Students
AK,,"Program Assistant, At Risk Student"
AK,23791,School Nurse
AK,23792,School Psychologist
AK,,Specialized Academic Instruction Teacher
AK,23799,Speech Therapist
AK,,Teacher
AK,,Teacher - Cal SAFE
AK,23802,Teacher - Cal-SAFE Program
AK,,Teacher Infant Program - Special Education
AK,,Teacher Severely Handicapped - Trainable Mental Handicapped
AK,,Teacher Special Education - DHH Itinerant
AK,23811,Teacher Special Education - Multiple Handicapped
AK,23817,"Teacher, Correctional Education"
AK,23818,"Teacher, Educational Audiologist"
AK,,"Teacher, Infant Program - Spcial Education"
AK,23821,"Teacher, Infant Program - Special Education"
AK,,"Teacher, Infant Program - Special Eduction"
AK,,"Teacher, Severely Handicapped/Emotionally Distrubed"
AK,,coordinator/principal special education prog
AK,,permit teacher
AM,24687,Audiologist
AM,24691,"Manager, Special Education"
AM,24692,Occupational Therapist
AM,,PSYCHOLOGIST
AM,24693,Physical Therapist
AM,,Principal
AM,,Principal - Special Education
AM,,"Principal, Special Education "
AM,24695,Psychologist
AM,24696,School Nurse
AM,,School Psychologist
AM,,School Therapist
AM,,Speech Language Pathologist
AM,,Speech and Language Pathologist
AM,,speech pathologist
AN,, Principal
AN,,ADMININISTRATOR
AN,,ADMINISTRATIVE ASSISTANT
AN,,ADMINISTRATIVE ASSISTANT I
AN,,ADMINISTRATOR ON SPECIAL ASSIGN 12 PAY
AN,,ASSISTANT PRINCIPAL MIDDLE
AN,,ATTENDANCE CLERK ASSISTANT
AN,,Admin. Assistant II
AN,,Administrative Assistant
AN,,Administrative Assistant 
AN,23461,Administrative Assistant I
AN,23462,Administrative Assistant II
AN,23466,"Administrator on Special Assignment V, Coordinator of Summer Learning"
AN,,Adminstrative Assistant I
AN,23468,Assistant Principal
AN,,Assistant Principal Elementary
AN,23470,Attendance Clerk
AN,,CDC SITE ADMININISTRATOR
AN,,CLERK TYPIST BILINGUAL
AN,,COMMMUNITY RELATIONS ASSISTANT I
AN,,COMMUNITY RELATIONS ASSIST II
AN,,COORDINATOR-AFTER SCHOOL PROG
AN,,COUNSELOR
AN,,Case Manager
AN,,Cerk Typist/BL
AN,,Clerical Sub
AN,23478,Clerk Typist
AN,,Clerk Typist BL
AN,,Clerk Typist Elem. small
