Job Classifications to Remove,District,Client Code,Notes
Director of Special Education,Alhambra School District,DM,
Secretary,Alhambra School District,DM,
Caregiver - Special Education,Alhambra School District,DM,
Instructional Assistant,Alhambra School District,DM,
Educational Services Receptionist,Alhambra School District,DM,
Department Clerk Human Resources,Alhambra School District,DM,
Clerk II,Alhambra School District,DM,
Nurse,Antelope Valley Union High School District,FH,
Coordinator - Child Welfare & Attendance,Azusa Unified School District,EN,
District Psychologist/School Psychologist,Azusa Unified School District,EN,
Coordinator - Child Welfare & Attendance,Azusa Unified School District,EN,
District Psychologist/School Psychologist,Azusa Unified School District,EN,
Community Service Worker,Bellflower Unified School District,FP,
Family Resource Center (FRC) Coordinator,Calexico Unified School District,EX,
Attendance Clerk,Capistrano Unified School District,CP,
Autism Specialist,Capistrano Unified School District,CP,
Behavior Intervention Assistant,Capistrano Unified School District,CP,
Bilingual Clerk,Capistrano Unified School District,CP,
Bilingual Community Liaison,Capistrano Unified School District,CP,
Bilingual Community Services Liaison,Capistrano Unified School District,CP,
Bilingual District Receptionist,Capistrano Unified School District,CP,
Bilingual Elementary School Clerk,Capistrano Unified School District,CP,
Bilingual Elementary School Office Manager,Capistrano Unified School District,CP,
Bilingual Independence Facilitator - Special Education,Capistrano Unified School District,CP,
Bilingual Instructional Assistant,Capistrano Unified School District,CP,
Bilingual Instructional Assistant - Preschool,Capistrano Unified School District,CP,
Bilingual Instructional Assistant - Special Education,Capistrano Unified School District,CP,
Bilingual Intermediate Office Assistant,Capistrano Unified School District,CP,
Bilingual Special Programs Liaision,Capistrano Unified School District,CP,
Bilingual Staff Secretary,Capistrano Unified School District,CP,
Bilingual Student Intervention Assistant,Capistrano Unified School District,CP,
Caregiver - Special Education,Capistrano Unified School District,CP,
Certified Occupational Therapist Assistant,Capistrano Unified School District,CP,
"Director III, Early Childhood Programs",Capistrano Unified School District,CP,
District Nurse,Capistrano Unified School District,CP,
Elementary Principal,Capistrano Unified School District,CP,
Elementary School Clerk,Capistrano Unified School District,CP,
