Activities Advisor|Santa Rosa Junior College|SR|
Adaptive PE (APE) Teacher |Lancaster SD |DJ|two entries
Adaptive Physical Education (P.E.) Specialist|Chino Valley USD|EW|
Adaptive Physical Education (P.E.) Specialist|Chino Valley USD|EW|
Administrative Secretary III - Superintendent's Office|Pomona Unified School District|BF|
Administrative Secretary I|Oxnard Union High School District|OH|
Assistant Principal|Fortuna High School District|FO|
Assistant Principal, Special Education|Santa Clara COE|AM|
Assistive Technology Tech|Oceanside Unified School District|OS|
Attendance Clerk|Capistrano Unified School District|CP|
Autism Specialist|Capistrano Unified School District|CP|
Behavior Intervention Assistant|Capistrano Unified School District|CP|
Bilingual Clerk|Capistrano Unified School District|CP|
Bilingual Community Liaison|Capistrano Unified School District|CP|
Bilingual Community Services Liaison|Capistrano Unified School District|CP|
Bilingual District Receptionist|Capistrano Unified School District|CP|
Bilingual Elementary School Clerk|Capistrano Unified School District|CP|
Bilingual Elementary School Office Manager|Capistrano Unified School District|CP|
Bilingual Independence Facilitator - Special Education|Capistrano Unified School District|CP|
Bilingual Instructional Aide|Val Verde Unified School District|HR|
Bilingual Instructional Assistant|Capistrano Unified School District|CP|
Bilingual Instructional Assistant - Preschool|Capistrano Unified School District|CP|
Bilingual Instructional Assistant - Special Education|Capistrano Unified School District|CP|
Bilingual Intermediate Office Assistant|Capistrano Unified School District|CP|
Bilingual Special Programs Liaision|Capistrano Unified School District|CP|
Bilingual Staff Secretary|Capistrano Unified School District|CP|
Bilingual Student Intervention Assistant|Capistrano Unified School District|CP|
BTSA Teacher on Special Assignment (TOSA)|Oceanside Unified School District|OS|
Bus Driver|Newport-Mesa Unified School District|NM|
Caregiver - Special Education|Alhambra School District|DM|
Caregiver - Special Education|Capistrano Unified School District|CP|
Case Manager I & II|Chino Valley Unified School District|EW|
Case Manager I & II|Chino Valley Unified School District|EW|
Certified Occupational Therapist Assistant|Capistrano Unified School District|CP|
Certified Occupational Therapy Assistant|Santa Ana Unified School District|BP|
Chief School Psychologist|Chino Valley USD|EW|
Chief School Psychologist|Chino Valley USD|EW|
Child Specialist|Chino Valley USD|EW|
Child Specialist|Chino Valley USD|EW|
Clerical Assistant II|Oxnard Union High School District|OH|
Clerk II|Alhambra School District|DM|
Clerk II|Westside Union School District|KC|
Communication Language/Speech Specialist|Santa Clara COE|AM|
